id,username,category,profilePicUrl,followers,reelsCount30d,avgViews30d,lastScrapedAt
12a47611-c4e9-4971-82f2-453cddd995e1,andreasrtobing,indonesia-finance,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-19/462503401_1058826769030085_1149637254611713461_n.jpg?stp=dst-jpg_e0_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=105&_nc_oc=Q6cZ2gF3vGmMzLwHwKM2MZlt8baU7LZPLTNzincBykx90bl2SkOt9bvMWhm0I4zl9jfOa_s&_nc_ohc=UMJFmdUVK34Q7kNvwEjyarP&_nc_gid=HrGpoLwVZzq7ztWxi8r9_w&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_Af0655548oJ5Aai8ttSlnef5m4O45aPlrn_nS41fp3ZaHQ&oe=69F7DFA2&_nc_sid=8b3546,74651,32,43977,2026-04-29T15:17:38.002Z
d1683529-d960-4bcc-bb41-45304b3a5240,ariesyuangga,indonesia-finance,https://scontent-phx1-1.cdninstagram.com/v/t51.2885-19/365402529_808021727538635_7541407777527234316_n.jpg?stp=dst-jpg_e0_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-phx1-1.cdninstagram.com&_nc_cat=111&_nc_oc=Q6cZ2gH5vA0HW4ThktMVffMBAJ4zZMmannhORNblwlg2LxYEUP-Sa-iWWaFoefnI_S-CFa8&_nc_ohc=o2M5o3nqNCUQ7kNvwGjF4-5&_nc_gid=W06gGdLOH6B2ysGBFQIcKQ&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_Af1TVFw9a6-oH0WoZ-JRTj2qBSxsmbesvxaKKWxxG0CZCQ&oe=69F8031F&_nc_sid=8b3546,30503,7,85248,2026-04-29T15:18:36.277Z
9a036f8b-2971-495a-b405-1f3e80edfcfd,realrobertgutierrez,AI,https://scontent-atl3-3.cdninstagram.com/v/t51.2885-19/459068587_801601211893319_7104464503781596699_n.jpg?stp=dst-jpg_e0_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-atl3-3.cdninstagram.com&_nc_cat=111&_nc_oc=Q6cZ2gG9K9d38Y9gdRa57NMgI6kCsTA-3rrsjIDOc2ItYdX6LHkHgcK-JDWPKrjoHnk-qDw&_nc_ohc=0M15rF38MgkQ7kNvwHFg3aH&_nc_gid=nt6bjLp0iQIJNjzMtoM-OQ&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_Af1vibOpx3BT2sziovhwk4r4-LW4ZnMGrSIDhKyVEu0xbg&oe=69F7E443&_nc_sid=8b3546,73361,31,56408,2026-04-29T15:19:33.499Z
f06b0f45-b4d1-4449-8b9b-740f90c82fba,nateherkai,AI,https://scontent-iad6-1.cdninstagram.com/v/t51.82787-19/589100350_17903463765296898_7210988525837429305_n.jpg?stp=dst-jpg_e0_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-iad6-1.cdninstagram.com&_nc_cat=106&_nc_oc=Q6cZ2gH68lfUtr7HSf6Fzp51dVUWHeDNgHuB1Fdu0_lcIwivHU3qKEndlH0Plsm2OIxbsNs&_nc_ohc=CnWejbS4_gkQ7kNvwHwzh0X&_nc_gid=syv3RuRMhRdqfRiYkqeP-w&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_Af1SLCaeHKB9epAnXZNKHZbrUbJyDACb8PZleVhrQFehQA&oe=69E395EC&_nc_sid=8b3546,180833,46,64259,2026-04-14T06:25:32.211Z
01ffc236-b1da-4189-add8-ef48005579b9,buildwithcody,AI,https://scontent-hou1-1.cdninstagram.com/v/t51.82787-19/587803343_17848747425608115_8208919738477478745_n.jpg?stp=dst-jpg_e0_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=103&_nc_oc=Q6cZ2gECObL0qx2dgBss8-rQ2vKwU9vWYvb_hSR--C0Se-EJ00d68-wkZC1kmd0Ng7r-EzA&_nc_ohc=LSRSuy0582gQ7kNvwE0WKGt&_nc_gid=7GAWCerEcYi53swty_dRLg&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_Af0bKQYuh-nYctq7VOUy-mu9RwFbYzccoaibLrhoad6irw&oe=69E3AB2C&_nc_sid=8b3546,68299,9,194808,2026-04-14T06:26:24.955Z
68d0b567-7035-41cf-8961-67750b337d65,shotbysammy_,AI,https://scontent-det1-1.cdninstagram.com/v/t51.82787-19/619756418_17992674746911269_8697038861779393774_n.jpg?stp=dst-jpg_e0_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-det1-1.cdninstagram.com&_nc_cat=109&_nc_oc=Q6cZ2gFaYFwFET36l5VoBYTHHzyErqXhjx5WMAcxwHU8XXMqFYEzarpiZVrCK_F1TvXDTCU&_nc_ohc=Oz9wVNcZnkgQ7kNvwGkWU0j&_nc_gid=xygq_f4ArwXoGNuqN68XeA&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_Af03oEO2BbEOJuYaJ2Ti_9zITdcGPVcmOMFVSqiop41PIA&oe=69E3B000&_nc_sid=8b3546,189748,13,20410,2026-04-14T06:26:52.181Z
6acb0b45-6856-41d9-a6c3-0b80b526f23d,careerhannah,AI,https://scontent-msp1-1.cdninstagram.com/v/t51.82787-19/609665346_17904851973336900_6246725597580141461_n.jpg?stp=dst-jpg_e0_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-msp1-1.cdninstagram.com&_nc_cat=100&_nc_oc=Q6cZ2gH5N02G-ldoeOsWoQFq9JSFBmPZqGUdQYebtgpGNBUiMayG6smVDZRo8ITvEV_9PIY&_nc_ohc=ofAWBVp55y0Q7kNvwEHQHe2&_nc_gid=V5O-J4ULh2EEe9o5ar71Hw&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_Af1_zlTEPGtkOBvADEKIR6Rfg0JsZ8AKR-0bhl_FzS973Q&oe=69E39A12&_nc_sid=8b3546,173227,26,70093,2026-04-14T06:27:20.802Z
ad9a2922-b06f-4331-9059-9518bf3b8329,pelayo_gp,startup,https://scontent-sjc6-1.cdninstagram.com/v/t51.2885-19/497929965_18360390868198064_4509033165970791629_n.jpg?stp=dst-jpg_e0_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-sjc6-1.cdninstagram.com&_nc_cat=108&_nc_oc=Q6cZ2gFHNlDQpRaO99Q8tN8fR8n2mCe8DYaOXRXXnqzrT1lNhcOurIx7T7Oy0i-9WSr8MNk&_nc_ohc=8B6F4ZNVKCMQ7kNvwHH2Tsi&_nc_gid=h2dDNUElufYuZaB2rJTyiA&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_Af2C5HWBqG11YG4dB3Bgzcu11Ok2lE96yplmFvDehLMqkA&oe=69E39D3C&_nc_sid=8b3546,81958,10,15087,2026-04-14T06:27:47.925Z
6edb07cd-1cb9-4c86-b94b-66180cfa7a6e,zabdiel.soriton,indonesia-finance,https://scontent-lga3-2.cdninstagram.com/v/t51.82787-19/611249260_17963413017009605_3126358813833655113_n.jpg?stp=dst-jpg_e0_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=105&_nc_oc=Q6cZ2gH_rYUzBWz21VFpPXpoCLDkSNrw3eqKjj5pr2Uiilp1iKPQ8IIu7kVME5uWv_zXR3A&_nc_ohc=_UxPfYmycD8Q7kNvwFbYcXF&_nc_gid=eZmdvaGYC2QwZXJTL3ohlw&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_Af0pZmB2PWjmGGJMAVHCRHH1cT1YWbmll_WxineOt5Sqqg&oe=69E3AB23&_nc_sid=8b3546,309405,25,433518,2026-04-14T06:28:15.913Z
5a068740-d46d-4f14-b132-f0fd7ff276ae,genuinelygenesis,finance,https://scontent-den2-1.cdninstagram.com/v/t51.82787-19/557633650_18069452813199110_1948179399291940481_n.jpg?stp=dst-jpg_e0_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-den2-1.cdninstagram.com&_nc_cat=102&_nc_oc=Q6cZ2gHXkE4-UPzZlPmQHHEoeuxfjWjXN9EwIxjIC_irDDq3_DWSM8jAPVFKo6OuDZvy0zg&_nc_ohc=GToupSAs6EQQ7kNvwHEXl6S&_nc_gid=g2mxlm7d8T_enMV4a-S-jw&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_Af00JRSmp29gaQwwB7UzzgcbzdkNUnjPjrkof14_wSgojg&oe=69E398D6&_nc_sid=8b3546,239190,15,20231,2026-04-14T06:28:41.820Z
